Genesymbol,degree
ANKRD9,1986
ANKS1A,1921
ANKS1B,1910
ANKS3,1939
ANKS4B,2014
ANKS6,2007
ANKUB1,227
ANKZF1,122
ANLN,491
ANO1,193
ANO10,135
ANO2,226
ANO3,124
ANO4,110
ANO5,137
ANO6,106
ANO7,76
ANO8,146
ANO9,44
ANOS1,283
ANP32A,453
ANP32B,337
ANP32D,229
ANPEP,1121
ANTXR1,123
ANTXR2,783
ANXA1,873
ANXA10,47
ANXA11,127
ANXA13,210
ANXA2,740
ANXA2R,18
ANXA3,109
ANXA4,192
ANXA5,1647
ANXA6,192
ANXA7,287
ANXA9,45
AOC1,131
AOC2,647
AOC3,250
AOX1,452
AP1AR,91
AP1B1,590
AP1G1,1005
AP1G2,434
AP1M1,440
AP1M2,425
AP1S1,296
AP1S2,376
AP1S3,239
AP2A1,585
AP2A2,477
AP2M1,719
AP2S1,429
AP3B1,1332
AP3B2,482
AP3D1,310
AP3M1,187
AP3M2,154
AP3S1,288
AP3S2,291
AP4B1,679
AP4E1,704
AP4M1,345
AP4S1,266
AP5B1,292
AP5M1,845
AP5S1,70
AP5Z1,101
APAF1,2972
APBA1,306
APBA2,278
APBA3,149
APBB1,894
APBB1IP,337
APBB2,131
APBB3,45
APC,1234
APC2,309
APCDD1,496
APCDD1L,11
APCS,401
APEH,1155
APEX1,1323
APEX2,744
APH1A,203
APH1B,747
API5,181
APIP,300
APLF,288
APLNR,458
APLP1,273
APLP2,402
APMAP,179
APOA1,1091
APOA2,412
APOA4,352
APOA5,303
APOB,1419
APOBEC1,581
APOBEC2,98
APOBEC3A,184
APOBEC3B,54
APOBEC3C,66
APOBEC3D,45
APOBEC3F,86
APOBEC3G,327
APOBEC3H,54
APOBEC4,571
APOBR,54
APOC2,140
APOC3,644
APOC4,218
APOD,225
APOE,2206
APOF,342
APOH,546
APOL1,177
APOL2,124
APOL3,127
APOL4,99
APOL5,50
APOL6,154
APOLD1,13
APOM,147
APOO,247
APOOL,367
APOPT1,67
APP,2584
APPBP2,1902
APPL1,1502
APPL2,772
APRT,930
APTX,398
AQP1,976
AQP10,567
AQP11,25
AQP12A,46
AQP12B,69
AQP2,945
AQP3,1076
AQP4,908
AQP5,732
AQP6,586
AQP7,654
AQP8,574
AQP9,939
AQR,796
AR,2350
ARAF,730
ARAP1,769
ARAP2,1206
ARAP3,406
ARC,128
ARCN1,474
AREL1,1682
ARF1,2708
ARF3,2769
ARF4,2504
ARF5,2383
ARF6,768
ARFGAP1,683
ARFGAP2,721
ARFGAP3,675
ARFGEF1,1428
ARFGEF2,632
ARFGEF3,82
ARFIP1,201
ARFIP2,403
ARG1,800
ARG2,517
ARGFX,108
ARGLU1,195
ARHGAP1,437
ARHGAP10,152
ARHGAP11A,572
ARHGAP11B,378
ARHGAP12,84
ARHGAP15,772
ARHGAP17,140
ARHGAP19,101
ARHGAP20,45
ARHGAP21,198
ARHGAP22,103
ARHGAP24,159
ARHGAP25,836
ARHGAP26,927
ARHGAP27,199
ARHGAP28,464
ARHGAP29,188
ARHGAP30,128
ARHGAP31,137
ARHGAP32,213
ARHGAP33,95
ARHGAP35,443
ARHGAP36,455
ARHGAP39,99
ARHGAP4,76
ARHGAP40,64
ARHGAP42,129
ARHGAP44,76
ARHGAP45,283
ARHGAP5,183
ARHGAP6,552
ARHGAP9,283
ARHGDIA,702
ARHGDIB,318
ARHGDIG,231
ARHGEF1,799
ARHGEF10,80
ARHGEF10L,187
ARHGEF11,791
ARHGEF12,680
ARHGEF15,423
ARHGEF16,685
ARHGEF17,91
ARHGEF18,88
ARHGEF19,430
ARHGEF2,198
ARHGEF25,225
ARHGEF26,436
ARHGEF28,414
ARHGEF3,918
ARHGEF33,22
ARHGEF35,378
ARHGEF37,60
ARHGEF38,55
ARHGEF39,136
ARHGEF4,318
ARHGEF40,60
ARHGEF5,526
ARHGEF6,408
ARHGEF7,662
ARHGEF9,230
ARID1A,1055
ARID1B,262
ARID2,919
ARID3A,300
ARID3B,232
ARID3C,175
ARID4A,1449
ARID4B,1686
ARID5A,213
ARID5B,57
ARIH1,355
ARIH2,393
ARL1,2217
ARL10,1938
ARL11,2569
ARL13A,190
ARL13B,362
ARL14,2156
ARL14EP,100
ARL14EPL,72
ARL15,265
ARL16,2081
ARL17A,2219
ARL17B,2156
ARL2,186
ARL2BP,29
ARL3,242
ARL4A,2191
ARL4C,2272
ARL4D,2248
ARL5A,2296
ARL5B,2183
ARL5C,2147
ARL6,2336
ARL6IP1,117
ARL6IP4,77
ARL6IP5,140
ARL6IP6,44
ARL8A,86
ARL8B,261
ARL9,2228
ARMC1,153
ARMC10,24
ARMC12,650
ARMC2,52
ARMC3,144
ARMC4,969
ARMC5,40
ARMC6,108
ARMC7,36
ARMC8,742
ARMC9,41
ARMCX1,26
ARMCX2,40
ARMCX3,57
ARMCX4,58
ARMCX5,207
ARMCX6,36
ARMH1,14
ARMH2,1
ARMH3,61
ARMH4,52
ARMS2,101
ARMT1,133
ARNT,516
ARNT2,82
ARNTL,1337
ARNTL2,148
ARPC1A,773
ARPC1B,228
ARPC2,499
ARPC3,410
ARPC4,324
ARPC4-TTLL3,347
ARPC5,461
ARPC5L,301
ARPIN,182
ARPP19,145
ARPP21,598
ARR3,701
ARRB1,1195
ARRB2,1160
ARRDC1,266
ARRDC2,256
ARRDC3,271
ARRDC4,254
ARRDC5,420
ARSA,212
ARSB,142
ARSD,153
ARSE,391
ARSF,238
ARSG,82
ARSH,270
ARSI,99
ARSJ,75
ARSK,73
ART1,85
ART3,33
ART4,57
ART5,88
ARTN,307
ARV1,73
ARVCF,374
ARX,538
AS3MT,83
ASAH1,134
ASAH2,77
ASAH2B,55
ASAP1,1170
ASAP2,529
ASAP3,468
ASB1,2214
ASB10,2262
ASB11,2457
ASB12,2294
ASB13,2182
ASB14,2355
ASB15,2189
ASB16,2230
ASB17,912
ASB18,2193
ASB2,2197
ASB4,2269
ASB5,2214
ASB6,2202
ASB7,2409
ASB8,2190
ASB9,2213
ASCC1,76
ASCC2,116
ASCC3,826
ASCL1,505
ASCL2,287
ASCL4,43
ASCL5,24
ASF1A,890
ASF1B,834
ASGR1,353
ASGR2,177
ASH1L,3680
ASH2L,504
ASIC1,152
ASIC2,167
ASIC3,135
ASIC4,97
ASIC5,283
ASIP,119
ASL,651
ASMT,99
ASMTL,338
ASNA1,315
ASNS,686
ASNSD1,691
ASPA,148
ASPDH,50
ASPG,2234
ASPH,263
ASPHD1,52
ASPHD2,54
ASPM,532
ASPN,2384
ASPRV1,580
ASPSCR1,318
ASRGL1,119
ASS1,883
ASTE1,204
ASTL,62
ASTN1,152
ASTN2,112
ASXL1,187
ASXL2,292
ASXL3,74
ASZ1,2838
ATAD1,1273
ATAD2,1727
ATAD2B,2769
ATAD3A,307
ATAD3B,705
ATAD3C,147
ATAD5,441
ATAT1,55
ATCAY,101
ATE1,186
ATF1,406
ATF2,1058
ATF3,933
ATF4,726
ATF5,121
ATF6,581
ATF6B,224
ATF7IP,932
ATF7IP2,44
ATG10,153
ATG101,165
ATG12,424
ATG13,242
ATG14,196
ATG16L1,1215
ATG16L2,66
ATG2A,346
ATG2B,843
ATG3,496
ATG4A,405
ATG4B,276
ATG4C,656
ATG4D,229
ATG5,668
ATG7,1827
ATG9A,334
ATIC,1188
ATL1,155
ATL2,50
ATL3,78
ATM,2702
ATMIN,1177
ATN1,918
ATOH1,521
ATOH7,676
ATOH8,35
ATOX1,175
ATP10A,1215
ATP10B,117
ATP10D,120
ATP11B,2147
ATP11C,1678
ATP12A,1964
ATP13A1,1504
ATP13A2,597
ATP13A3,246
ATP13A4,240
ATP13A5,222
ATP1A1,1387
ATP1A2,1336
ATP1A3,1301
ATP1A4,1313
ATP1B1,216
ATP1B2,175
ATP1B3,165
ATP1B4,279
ATP23,169
ATP2A1,1488
ATP2A2,1649
ATP2A3,1284
ATP2B1,961
ATP2B2,622
ATP2B3,563
ATP2B4,580
ATP2C2,1252
ATP4A,1975
ATP4B,94
ATP5F1A,1568
ATP5F1B,1282
ATP5F1C,1008
ATP5F1D,649
ATP5F1E,395
ATP5IF1,216
ATP5MC1,708
ATP5MC2,565
ATP5MC3,633
ATP5MD,216
ATP5ME,306
ATP5MF,402
ATP5MF-PTCD1,320
ATP5MG,376
ATP5MGL,256
ATP5MPL,168
ATP5PB,459
ATP5PD,752
ATP5PF,568
ATP5PO,955
ATP5S,107
ATP6AP1,116
ATP6AP2,323
ATP6V0A1,649
ATP6V0A2,823
ATP6V0A4,708
ATP6V0B,468
ATP6V0C,604
ATP6V0D1,333
ATP6V0D2,281
ATP6V0E1,81
ATP6V0E2,70
ATP6V1A,668
ATP6V1B1,548
ATP6V1B2,604
ATP6V1C1,263
ATP6V1C2,209
ATP6V1D,236
ATP6V1E1,262
ATP6V1E2,189
ATP6V1F,326
ATP6V1G1,216
ATP6V1G2,153
ATP6V1G3,195
ATP6V1H,231
ATP7A,1673
ATP7B,991
ATP8A1,293
ATP8A2,241
ATP8B1,429
ATP8B2,1139
ATP8B3,202
ATP8B4,1154
ATP9A,385
ATP9B,1015
ATPAF1,148
ATPAF2,270
ATR,2916
ATRAID,93
ATRIP,282
ATRN,118
ATRNL1,31
ATRX,2697
ATXN1,985
ATXN10,113
ATXN1L,46
ATXN2,1018
ATXN2L,442
ATXN3,1071
ATXN3L,694
ATXN7L1,226
ATXN7L2,92
ATXN7L3,182
ATXN7L3B,5
AUH,493
AUNIP,162
AUP1,190
AURKA,1653
AURKAIP1,214
AURKB,1507
AURKC,1516
AUTS2,195
AVEN,203
AVIL,545
AVL9,129
AVP,1469
AVPI1,91
AVPR1A,257
AVPR1B,232
AVPR2,1785
AWAT1,236
AWAT2,183
AXDND1,654
AXIN1,997
AXIN2,724
AXL,2673
AZGP1,168
AZI2,117
AZIN1,686
AZIN2,668
AZU1,502
B2M,1280
B3GALNT1,252
B3GALNT2,76
B3GALT2,73
B3GALT4,111
B3GALT5,54
B3GALT6,95
B3GAT1,428
B3GAT2,218
B3GAT3,144
B3GLCT,154
B3GNT2,121
B3GNT3,129
B3GNT4,125
B3GNT5,90
B3GNT7,80
B3GNT8,39
B3GNT9,99
B3GNTL1,520
B4GALNT1,199
B4GALNT2,409
B4GALNT3,136
B4GALNT4,112
B4GALT1,204
B4GALT2,129
B4GALT3,94
B4GALT4,85
B4GALT5,52
B4GALT6,59
B4GALT7,184
B4GAT1,349
B9D1,203
B9D2,271
BAALC,70
BAAT,595
BABAM1,285
BABAM2,573
BACE1,2077
BACE2,994
BACH1,700
BACH2,218
BAD,196
BAG2,174
BAG3,1080
BAG4,279
BAG5,552
BAG6,364
BAHCC1,59
BAHD1,61
BAIAP2,265
BAIAP2L1,43
BAIAP2L2,51
BAIAP3,71
BAK1,1238
BAMBI,189
BANF1,761
BANF2,731
BANK1,179
BANP,467
BAP1,547
BARD1,2544
BARHL1,234
BARHL2,212
BARX1,227
BARX2,148
BASP1,92
BATF,484
BATF2,327
BATF3,397
BAX,1779
BAZ1A,2005
BAZ1B,1584
BAZ2A,1943
BAZ2B,2121
BBC3,626
BBIP1,156
BBOF1,74
BBOX1,582
BBS1,362
BBS10,1659
BBS12,101
BBS2,403
BBS4,2174
BBS5,221
BBS7,194
BBS9,136
BBX,194
BCAM,146
BCAN,231
BCAP29,174
BCAP31,327
BCAR1,525
BCAR3,56
BCAS1,106
BCAS2,642
BCAS3,282
BCAS4,63
BCAT1,724
BCAT2,682
BCCIP,601
BCDIN3D,91
BCHE,667
BCKDHA,954
BCKDHB,667
BCKDK,1028
BCL11A,1334
BCL11B,1677
BCL2,3166
BCL2A1,681
BCL2L1,1908
BCL2L10,272
BCL2L11,1175
BCL2L12,78
BCL2L13,76
BCL2L14,268
BCL2L15,44
BCL2L2,553
BCL2L2-PABPN1,604
BCL3,2388
BCL6,2408
BCL6B,1175
BCL7A,125
BCL7B,133
BCL7C,99
BCL9,122
BCL9L,177
BCLAF1,446
BCLAF3,803
BCO1,120
BCO2,61
BCOR,847
BCORL1,203
BCR,1874
BCS1L,1031
BDH1,140
BDH2,687
